,categories,seedwords,words
0,help,"['responsible', 'help', 'grateful']","['able', 'trusted', 'appreciative', 'though', 'neglected', 'important', 'disappointed', 'adamant', 'understand', 'helping', 'top_priority', 'grateful', 'helpful', 'greatful', 'protect', 'best', 'thankful', 'if', 'willing', 'glad', 'happy', 'reason', 'responsibility', 'save', 'blame', 'handle', 'unfortunate', 'fortunate', 'truly', 'assure', 'because', 'successful', 'besides', 'suppose', 'especially', 'responsible', 'unhappy', 'accept', 'meant', 'help', 'certainly', 'appreciate', 'trust', 'benefit', 'offer', 'provide', 'surely']"
1,office,"['office', 'laptop', 'bookshelf']","['end_table', 'white_desk', 'desktop', 'school_books', 'sitting_room', 'stack', 'book_shelves', 'library', 'laptop', 'dressing_table', 'comfy_chair', 'cubicle', 'dresser', 'shelf', 'living_area', 'tiny_room', 'lounge', 'art_room', 'office_room', 'book_shelf', 'files', 'small_closet', 'computer_desk', 'living_room', 'textbook', 'briefcase', 'papers', 'computer_room', 'small_office', 'small_table', 'little_desk', 'bookshelf', 'filing_cabinet', 'file_cabinet', 'sketchbook', 'chair', 'study_room', 'own_desk', 'rolling_chair', 'imac', 'large_desk', 'office', 'dorm_room', 'typewriter', 'study', 'desk', 'small_room', 'tablet', 'bag', 'shelves', 'books', 'cubby', 'front_room', 'text_book', 'small_desk', 'folder', 'back_room', 'study_table', 'coffee_table', 'ipad', 'small_bedroom', 'binder', 'notebook', 'few_books', 'nightstand', 'portfolio', 'supply_closet', 'storage_closet', 'bookcase', 'printer', 'lap_top', 'folders', 'desk_chair', 'small_living_room', 'bureau', 'computer', 'home_office', 'photo_album', 'macbook', 'wooden_desk', 'bedroom', 'book_case', 'study_desk', 'bookshelves', 'metal_box', 'side_table', 'little_room', 'new_room']"
2,dance,"['choreography', 'dance', 'chord']","['duet', 'plays', 'slow_songs', 'slow_dancing', 'drums', 'flute', 'solos', 'favourite_songs', 'acoustic', 'danced', 'other_dancers', 'music', 'strum', 'instrument', 'same_song', 'preform', 'whole_song', 'few_songs', 'vocals', 'slow_music', 'electric_guitar', 'guitar_solo', 'national_anthem', 'dance_routine', 'last_song', 'chord', 'dance_moves', 'practice', 'hiphop', 'choir', 'lyrics', 'chords', 'performing', 'dance', 'dances', 'different_song', 'choreographed', 'violins', 'duets', 'dj', 'first_song', 'onstage', 'instrumental', 'new_song', 'harmonize', 'slow_dance', 'couple_songs', 'sing', 'practise', 'perform', 'other_songs', 'lyric', 'harmonies', 'own_song', 'singing', 'riff', 'tune', 'first_verse', 'play', 'orchestra', 'tango', 'ballet', 'tunes', 'background_music', 'slow_song', 'dancers', 'dancing', 'next_verse', 'different_songs', 'rap', 'hip_hop', 'freestyle', 'next_song', 'choreograph', 'song', 'karaoke', 'second_verse', 'waltz', 'group_dance', 'songs', 'choreography']"
3,money,"['yen', 'money', 'bail']","['bankrupt', 'bank_account', 'discount', 'donate', 'one_hundred_dollars', 'buy', 'large_sum', 'gas_money', 'millions_of_dollars', 'credit_card', 'little_money', 'medical_bills', 'pay_check', 'a_thousand_dollars', 'child_support', 'ebay', 'trust_fund', 'funds', 'babysitting', 'more_money', 'tax', 'fined', 'job', 'more_drugs', 'paid', 'only_money', 'allowance', 'life_savings', 'big_bucks', 'other_job', 'fake_id', 'that_much_money', 'hospital_bills', 'enough_money', 'debt', 'yen', 'twenty_dollars', 'a_hundred_dollars', 'pocket_money', 'big_money', 'so_much_money', 'most_money', 'insurance', 'real_job', 'sell', '500_dollars', 'odd_jobs', 'bribe', 'loans', 'extra_cash', 'wages', 'taxes', 'expenses', 'paychecks', 'charity', 'afford', 'too_much_money', 'hire', 'thousands_of_dollars', 'minimum_wage', 'fee', 'savings', 'summer_job', 'credit_cards', 'rent', 'own_money', 'prostitution', 'much_money', 'part_time_job', 'budget', 'as_much_money', '100_dollars', 'good_money', 'extra_money', 'dollars', 'paycheck', 'cash', 'salary', 'mortgage', 'bank_accounts', 'pay', 'black_market', 'monthly', 'piggy_bank', 'only_job', 'tuition', 'five_hundred_dollars', 'evicted', 'fund', 'college_fund', 'fifty_dollars', 'fees', 'money', 'plane_ticket', 'bills', 'jobs', 'two_hundred_dollars', 'how_much_money', 'enough_cash', 'bail', '10_dollars']"
4,wedding,"['commemorate', 'wedding', 'dowry']","['eighteenth', 'big_wedding', 'camping_trip', 'wedding_night', 'preparations', 'prom', 'birthday_party', 'graduation_party', 'betrothed', 'marriage', 'christmas_party', 'event', 'special_date', 'big_event', 'seventeenth_birthday', 'married', 'propose', 'coronation', '21st_birthday', 'wedding_date', 'charity_event', 'celebrate', 'dinner_party', 'commemorate', 'selection', 'weddings', 'one_year_anniversary', 'eighteenth_birthday', 'betrothal', 'wed', 'luncheon', 'homecoming', 'special_night', 'wedding_ceremony', 'this_evening', 'engagement_party', 'dinner_date', 'special_dinner', 'proposal', 'first_anniversary', 'outing', 'wedding', 'engagement', 'fashion_show', 'date', 'first_interview', 'bridesmaid', 'funerals', 'graduation_ceremony', 'honey_moon', 'plans', 'gala', 'viewing', 'birthday', 'holiday', 'family_reunion', 'reunion', 'special_event', 'art_show', 'celebration', 'honeymoon', 'ceremony', 'wedding_planner', 'visit', 'sixteenth_birthday', 'graduation', 'masquerade_ball', 'banquet', 'shopping_trip', 'flower_girl', '19th_birthday', '18th_birthday', 'fifteenth_birthday', 'bride', 'wedding_day', 'vows', '20th_birthday', 'funeral', 'dowry', 'first_birthday', 'expedition', 'next_month', 'auction', 'husband', 'groom', 'festival', 'wedding_party', 'fundraiser', 'baby_shower', 'special_day', 'big_party', 'proposed', 'wedding_plans', 'anniversary', 'host', 'burial']"
5,domestic_work,"['cleaned', 'housework', 'scrub']","['shaving', 'cleansed', 'dry', 'rinsed', 'housework', 'tidying', 'washing', 'bathe', 'cleaning', 'rinsing', 'cleaner', 'vacuum', 'bandage', 'redressed', 'scrubbing', 'tidy', 'scrub', 'washed', 'mopping', 'disinfect', 'mopped', 'mop', 'rinse', 'tidied', 'cleaned', 'scrubbed', 'cleans', 'clean', 'vacuumed', 'wash', 'domestic_work', 'dried', 'patched', 'laundry']"
6,sleep,"['rest', 'sleep', 'bedroom']","['rest', 'dorm', 'master_bedroom', 'own_bedroom', 'sleeping', 'motel_room', 'home', 'little_room', 'beds', 'house', 'the_night', 'spare_room', 'living_room', 'old_room', 'apartment', 'own_bed', 'bunk', 'family_room', 'next_room', 'spare_bedroom', 'bunks', 'bed_room', 'shower', 'sleep', 'front_room', 'downstairs', 'basement', 'hotel_suite', 'couch', 'night', 'clothes', 'hotel_room', 'guest_bedroom', 'upstairs', 'bed', 'bathroom', 'bedroom', 'loft', 'own_room', 'guest_room', 'rooms', 'other_room', 'lounge', 'pajamas']"
7,medical_emergency,"['aneurysm', 'medical', 'diagnose']","['donation', 'maintenance', 'experimentation', 'mechanics', 'usage', 'requiring', 'acquiring', 'resource', 'surgeries', 'standard', 'operation', 'communications', 'funding', 'department', 'payments', 'diagnose', 'administered', 'extensive', 'surgeon', 'psychological', 'functions', 'prescribed', 'employ', 'supply', 'illnesses', 'specializing', 'minor', 'conducting', 'diagnosis', 'specialized', 'experts', 'scientific', 'psychologist', 'undergo', 'qualifications', 'operations', 'law_enforcement', 'viruses', 'blood_tests', 'operating', 'regulation', 'discharge', 'concerning', 'researcher', 'analysis', 'medical_field', 'investigations', 'handicap', 'consult', 'procedures', 'manufacture', 'administering', 'employed', 'qualified', 'treatment', 'mental_illness', 'medically', 'aneurysm', 'certified', 'detrimental', 'genetic', 'mental_illnesses', 'substitute', 'medical_care', 'faulty', 'other_forms', 'finances', 'specified', 'conducted', 'exempted', 'research', 'administration', 'testing', 'administer', 'medical_treatment', 'specialists', 'requires', 'scans', 'specializes', 'financial', 'pertaining', 'researchers', 'conduct', 'rehabilitation', 'examinations', 'proper_care', 'require', 'undergoing', 'specialist', 'accounting', 'political', 'psychologists', 'transplant', 'policy', 'cures', 'prescribe', 'obtained', 'psychiatrist', 'medical', 'medical_emergency']"
8,cold,"['frostbite', 'cold', 'froze']","['wet', 'suddenly', 'gasped', 'ice', 'damp', 'almost', 'trembling', 'pale', 'icy_cold', 'dry', 'scorching', 'frost', 'paralyzed', 'hollow', 'coldness', 'stopped', 'burning', 'heat', 'shivered', 'icy', 'faint', 'limp', 'cold', 'frostbite', 'frigid', 'cold_feeling', 'tensed', 'thawed', 'melting', 'dark', 'lifeless', 'warm', 'flinched', 'colder', 'drenched', 'panicked', 'freeze', 'froze', 'melted', 'burned', 'trembled', 'touched', 'frozen', 'rigid', 'deathly', 'shivering', 'freezing', 'soaked', 'solid', 'stiffened', 'numb', 'heavy', 'stiff', 'shuddered']"
9,hate,"['hating', 'hate', 'envy']","['selfish', 'ashamed', 'detested', 'envied', 'love', 'judged', 'liking', 'terrifies', 'loves', 'imagine', 'blame', 'annoys', 'bullied', 'despises', 'because', 'loving', 'despising', 'tolerate', 'burning_passion', 'hating', 'mean', 'mad', 'jealous', 'always', 'criticizing', 'strong_feeling', 'despised', 'criticized', 'sickens', 'awful', 'detest', 'knowing', 'liked', 'bullying', 'deserve', 'suffer', 'loved', 'jealousy', 'believe', 'disgusts', 'hated', 'mostly', 'mainly', 'pitying', 'dislike', 'disgusted', 'tormenting', 'fake_people', 'understand', 'honestly', 'so_much_hate', 'angry', 'horrible', 'liars', 'envious', 'different_reasons', 'sometimes', 'disliking', 'pitied', 'insulting', 'especially', 'unhappy', 'like', 'shun', 'disgust', 'adore', 'terrible', 'miserable', 'mixed_feelings', 'hatred', 'hate', 'infatuation', 'care', 'many_reasons', 'loathe', 'annoying', 'associate', 'reason', 'loathed', 'envy', 'hates', 'dislikes', 'disliked', 'disappointing', 'despise', 'bully', 'pity']"
