,categories,seedwords,words
0,help,"['chore', 'responsible', 'help', 'grateful', 'maid']","['household', 'needed', 'adamant', 'if', 'help', 'therefore', 'family', 'benefit', 'thankful', 'happy', 'glad', 'privilege', 'grateful', 'offer', 'replacement', 'job', 'responsible', 'chore', 'unfortunate', 'reason', 'certainly', 'accept', 'because', 'fortunate', 'perhaps', 'helper', 'neglected', 'suppose', 'assist', 'successful', 'willing', 'besides', 'responsibility', 'assistance', 'unhappy', 'mistress', 'responsibilities', 'provide', 'meant', 'however', 'father', 'maid', 'daughter', 'company', 'helping', 'surely', 'especially']"
1,office,"['office', 'laptop', 'bookshelf', 'manager', 'keyboard']","['bedroom', 'library', 'wooden_desk', 'files', 'file', 'video_camera', 'tab', 'own_desk', 'lounge', 'office_desk', 'recorder', 'notepad', 'lap_top', 'small_room', 'briefcase', 'computer_room', 'music_sheets', 'booklet', 'computer', 'notebook', 'printer', 'paperwork', 'book_case', 'laptop', 'conference_room', 'screen', 'whiteboard', 'binder', 'folder', 'small_desk', 'computers', 'bookcase', 'desk', 'mobile', 'scanner', 'panel', 'few_papers', 'tablet', 'file_cabinet', 'imac', 'sheet_music', 'gallery', 'portfolio', 'book_shelf', 'bookshelf', 'textbook', 'back_room', 'small_office', 'chair', 'phone', 'filing_cabinet', 'desktop', 'cubicle', 'laptops', 'documents', 'break_room', 'office', 'ipad', 'console', 'computer_desk', 'photo_album', 'magazine', 'key_board', 'papers', 'headset', 'keyboard', 'white_board', 'manager', 'study', 'register', 'office_room', 'study_room', 'home_office', 'table', 'projector', 'study_table', 'macbook', 'iphone', 'cds', 'typewriter', 'folders', 'apartment', 'flash_drive', 'lab', 'computer_screen', 'secretary', 'large_desk', 'tape_recorder']"
2,dance,"['choreography', 'dance', 'chord', 'ballet', 'glee']","['dance', 'lyrical', 'practise', 'slow_songs', 'dj', 'few_songs', 'next_song', 'ballet', 'electric_guitar', 'ballerina', 'group_dance', 'drums', 'national_anthem', 'first_verse', 'music', 'onstage', 'freestyle', 'songs', 'instrumental', 'duets', 'vocals', 'gymnastics', 'slow_music', 'glee', 'danced', 'slow_song', 'trumpet', 'chord', 'waltz', 'clarinet', 'play', 'karaoke', 'flute', 'performing', 'dance_routine', 'harp', 'hip_hop', 'slow_dance', 'dancers', 'tunes', 'next_verse', 'pianist', 'tune', 'duet', 'perform', 'dance_moves', 'dancing', 'first_song', 'contemporary', 'riff', 'singing', 'harmonies', 'whole_song', 'beyoncu00e9', 'solos', 'choreography', 'different_songs', 'different_song', 'choir', 'dances', 'practice', 'song', 'rap', 'second_verse', 'guitar_solo', 'musical', 'sing', 'orchestra', 'choreograph', 'violins', 'instrument', 'lyrics', 'plays', 'own_song', 'choreographed', 'piano', 'other_dancers', 'hiphop', 'practising', 'marching_band', 'chords']"
3,money,"['drachma', 'shilling', 'yen', 'money', 'bail']","['cash', 'that_much_money', 'drachma', 'ebay', 'piggy_bank', 'wages', 'plane_ticket', 'enough_cash', 'life_savings', 'jobs', 'funds', 'gas_money', 'enough_money', 'job', 'bank_accounts', 'sell', 'little_money', 'good_money', 'afford', '100_dollars', 'expenses', 'twenty_dollars', 'most_money', 'dollar', 'monthly', 'too_much_money', 'paychecks', 'much_money', 'deposit', 'hospital_bills', 'ten_thousand_dollars', 'donations', 'more_drugs', 'own_money', 'two_hundred_dollars', 'medical_bills', 'yen', 'tuition', 'extra_money', 'insurance', 'budget', 'odd_jobs', 'big_bucks', 'taxes', 'how_much_money', 'paycheck', 'buy', 'winnings', 'paid', 'plane_tickets', 'bill', 'credit_cards', 'millions_of_dollars', '10_dollars', 'big_money', 'thousands_of_dollars', 'allowance', 'pay_check', 'bribe', 'a_thousand_dollars', 'trust_fund', 'earnings', 'fined', 'so_much_money', 'as_much_money', 'fake_id', 'loans', 'black_market', 'extra_cash', 'bills', 'donate', 'savings', 'fees', 'five_hundred_dollars', 'only_money', 'mortgage', 'coupons', 'one_hundred_dollars', 'discount', 'large_sum', 'fifty_dollars', 'money', 'salary', 'rent', 'child_support', 'bank_account', 'pocket_money', 'credit_card', 'bail', 'more_money', 'a_hundred_dollars', 'fund', 'evicted', 'tax', 'college_fund', 'pay', 'charity', 'fee', 'shilling', 'dollars', '500_dollars']"
4,wedding,"['planning', 'oldest', 'wed', 'fiancee', 'debutante']","['born', 'twin_boys', 'guardian', 'sisters', 'courting', 'ten_years_old', 'inherit', 'first_daughter', 'niece', 'engaged', 'legal_guardian', 'oldest', 'fiance', 'new_wife', 'wed', 'twentytwo', 'only_son', 'godfather', 'brother', 'eighteenth_birthday', 'godmother', 'second_son', 'recruited', 'elder', 'adopted', 'marry', 'crowned', 'proposed', 'suitor', 'youngest_child', 'daughters', 'fostered', 'family_friend', 'first_son', 'sister', 'sons', 'seventeen_years_old', 'biological_father', 'grandchild', 'half_brother', 'relative', 'sixteen', 'conceived', 'marrying', 'seventeen', 'marriage', 'twenty_years_old', 'only_daughter', 'heiress', 'cousin', 'courted', 'eldest', 'new_husband', 'elected', 'fiancu00e9', 'coronation', 'godparents', 'youngest', 'first_child', 'married', 'grandson', 'triplets', 'closest_friend', 'custody', 'beautiful_children', 'daughter', 'eldest_son', 'wedded', 'second_child', 'oldest_child', 'family', 'close_friend', 'nephew', 'childhood_friends', 'adopting', 'wife', 'youngest_daughter', 'heir', 'siblings', 'best_man', 'husband', 'family_friends', 'helper', 'betrothed', 'appointed', 'halfbrother', 'unmarried', 'fiancee', 'wedding', 'successor', 'oldest_son', 'planning', 'third_child', 'debutante', 'granddaughter']"
5,domestic_work,"['chore', 'mom', 'vacuum', 'scrubbing', 'cook']","['cooked', 'dishes', 'slaving', 'clean', 'housework', 'food', 'dishwasher', 'washing', 'leftovers', 'bake', 'tidy', 'cleaners', 'dinner', 'own_food', 'chore', 'eating', 'supper', 'domestic_work', 'wash', 'vegetables', 'cleaner', 'eat', 'soup', 'mess', 'cooking', 'laundry', 'breakfast', 'cooks', 'vacuum', 'cleaning', 'baking', 'chores', 'cook', 'tidying', 'cleaned', 'lasagna', 'mom', 'work', 'dish', 'scrubbing']"
6,sleep,"['sleepy', 'rest', 'sleep', 'bedroom', 'yawning']","['slept', 'futon', 'peacefully', 'living_room', 'bedroom', 'hotel_room', 'tiredly', 'bed', 'sleepy', 'awake', 'own_room', 'exhausted', 'night', 'quietly', 'cozy_bed', 'wake', 'waking', 'sleepily', 'guest_bedroom', 'warm_bed', 'comfy_bed', 'lounge', 'upstairs', 'morning', 'nap', 'own_bed', 'bathroom', 'spare_bedroom', 'sleep', 'rest', 'sleeping', 'pyjamas', 'guest_room', 'comfortable_bed', 'couch', 'bunk', 'home', 'little_bed', 'pajamas', 'asleep', 'shower', 'yawning', 'spare_room', 'air_mattress', 'yawned', 'bed_room', 'tired']"
7,medical_emergency,"['medic', 'birth', 'swelling', 'epilepsy', 'ventilator']","['birth', 'blood_loss', 'born', 'blood_transfusion', 'tumour', 'chemo', 'healed', 'regeneration', 'healer', 'tumor', 'leukemia', 'serious_injuries', 'deteriorating', 'sickness', 'dying', 'labour', 'condition', 'doctor', 'remission', 'father', 'enough_blood', 'patient', 'midwife', 'head_injury', 'regenerated', 'healing', 'trauma', 'miscarried', 'lung_cancer', 'infant', 'hospitalized', 'illness', 'surgeons', 'suffering', 'gunshot_wound', 'recovering', 'fetus', 'injected', 'injuries', 'donor', 'pneumonia', 'miscarriage', 'dementia', 'passing', 'conceived', 'recovery', 'uterus', 'bone_marrow', 'health', 'diagnosed', 'childbirth', 'brain_tumor', 'ventilator', 'medical_emergency', 'cancer', 'death', 'overdose', 'treatment', 'operation', 'brain_cancer', 'critical_condition', 'womb', 'injury', 'serum', 'internal_bleeding', 'died', 'newborn', 'suffered', 'medic', 'contracted', 'seizures', 'first_child', 'labor', 'premature', 'radiation', 'cured', 'discharge', 'pregnancy', 'weak_heart', 'swelling', 'old_age', 'paralysis', 'result', 'administered', 'doctors', 'sustained', 'weakened', 'disease', 'mother', 'surgeon', 'brain_damage', 'injection', 'autopsy', 'nursed', 'tumors', 'deathbed', 'birthed', 'chemotherapy', 'diagnosis', 'epilepsy', 'coma', 'husband', 'heal', 'surgery', 'infection', 'minor_injuries', 'child', 'alzheimer', 'fever', 'intensive_care']"
8,cold,"['shivering', 'woolly', 'sleet', 'windy', 'ice']","['drizzling', 'droplets', 'chilly', 'water', 'frost', 'heavy_rain', 'damp', 'downpour', 'coldness', 'rain', 'white_snow', 'blistering', 'windy', 'shivering', 'cooling', 'cold_rain', 'freezing', 'drizzle', 'cold_air', 'woolly', 'humid', 'blizzard', 'muggy', 'scorching', 'winter_air', 'sleet', 'frosty', 'slippery', 'snowing', 'winter', 'cold_wind', 'colder', 'ice', 'dew', 'freezing_air', 'heat', 'slush', 'raining', 'cold_snow', 'rained', 'snow', 'icy_cold', 'cold', 'freezing_water', 'crisp', 'summer_heat', 'chilly_air', 'cold_temperature', 'humidity', 'hot_sun', 'brisk', 'icicles', 'light_drizzle', 'cold_weather', 'night_air', 'warm', 'cold_ice', 'icy', 'soaked', 'cold_night']"
9,hate,"['despise', 'vindictive', 'infuriate', 'sexist', 'kill']","['selfish', 'hate', 'harm', 'brainwash', 'outsmarted', 'belittle', 'infuriate', 'hates', 'disrespected', 'despises', 'oppose', 'tolerate', 'degrade', 'petty', 'deceive', 'because', 'annoy', 'unfair', 'protect', 'murder', 'loathe', 'sacrifice', 'associate', 'kill', 'idiotic', 'disagree', 'sympathize', 'target', 'provoked', 'dislike', 'incompetent', 'abduct', 'brainwashed', 'pity', 'hypocrites', 'harass', 'neglect', 'blackmail', 'punish', 'resent', 'sickens', 'corrupt', 'underestimated', 'revenge', 'endanger', 'ridicule', 'classify', 'detest', 'slaughter', 'cruel', 'anger', 'accuse', 'shame', 'sexist', 'untrustworthy', 'sicken', 'disgust', 'suffer', 'torment', 'misunderstand', 'insulting', 'weakling', 'court', 'vindictive', 'despicable', 'terrify', 'respect', 'punishing', 'outsmart', 'wronged', 'insult', 'confuse', 'betray', 'trick', 'consider', 'stupid', 'unreasonable', 'cowards', 'despise', 'blame', 'pitied', 'influencing', 'disgusts', 'heartless', 'understand', 'underestimate', 'disapprove', 'disobey', 'disown', 'trust', 'favors', 'befriend', 'ruthless', 'misunderstood', 'unfaithful', 'kidnap', 'torture', 'provoke', 'unforgivable', 'humiliate', 'exclude', 'impregnate', 'condemn']"
