,categories,seedwords,words
0,help,['help'],"['try', 'only_way', 'motivate', 'concerted_effort', 'encourage', 'retrain', 'helps', 'need', 'other_ways', 'help', 'assist', 'enable', 'better_ways', 'major_effort', 'best_way', 'alternative_ways', 'aid', 'new_ways', 'helping', 'needed', 'trying', 'prod', 'best_ways', 'innovative_ways', 'creative_ways', 'enough', 'able']"
1,office,['office'],"['office', 'own_office', 'district_office', 'new_office', 'the_district_attorneys', 'top_aides', 'manhattan_office', 'mr_harding', 'mr_kerik']"
2,dance,['dance'],"['choreography', 'ensembles', 'traditional_music', 'ballroom_dancing', 'cirque_du_soleil', 'juggling', 'flamenco', 'ballet', 'ensemble', 'mr_baryshnikov', 'ailey', 'performance_art', 'hula', 'dancers', 'african_music', 'other_dancers', 'spanish_dance', 'classical_ballet', 'performers', 'puppeteers', 'mr_lubovitch', 'pilobolus', 'tap_dancing', 'waltz', 'young_dancers', 'duets', 'martha_graham', 'dance_music', 'dance', 'music', 'gospel_music', 'folk_dancing', 'choreographers', 'spoken_word', 'dancer', 'male_dancers', 'young_performers', 'classical', 'tango', 'troupes', 'latin_music', 'martial_arts', 'performing', 'chinese_opera', 'mime', 'musical_theater', 'jazz_dance', 'kabuki', 'storytelling', 'acrobatics', 'ragtime', 'audience_participation', 'mambo', 'drumming', 'folk', 'cabaret', 'solo', 'folk_dance', 'klezmer', 'choreographer', 'dances', 'dancing', 'clowning', 'singing', 'contemporary_dance', 'puppetry', 'folk_music', 'african_dance', 'contemporary_music', 'capoeira', 'modern_dance', 'noh', 'samba', 'improvisation', 'young_musicians', 'world_music', 'jugglers', 'troupe', 'electronic_music']"
3,money,['money'],"['as_much_money', 'favors', 'large_amounts', 'funds', 'more_cash', 'that_much_money', 'thousands_of_dollars', 'large_sums', 'coffers', 'company_money', 'resources', 'huge_amounts', 'more_resources', 'hundreds_of_thousands_of_dollars', 'extra_money', 'little_money', 'personal_accounts', 'life_savings', 'dollars', 'too_much_money', 'additional_money', 'federal_money', 'grant_money', 'trust_funds', 'hundreds_of_millions_of_dollars', 'so_much_money', 'public_money', 'state_funds', 'more_money', 'much_more_money', 'several_million_dollars', 'large_sum', 'trust_fund', 'wealthy_people', 'monies', 'taxpayers', 'other_peoples_money', 'government_funds', 'own_resources', 'enormous_amounts', 'enormous_sums', 'substantial_amount', 'tax_dollars', 'how_much_money', 'pension_money', 'additional_funds', 'windfall', 'own_pockets', 'new_money', 'financial_support', 'substantial_amounts', 'even_more_money', 'far_more_money', 'proceeds', 'less_money', 'campaign_money', 'tax_money', 'taxpayer_dollars', 'own_funds', 'vast_sums', 'money', 'tens_of_millions_of_dollars', 'campaign_funds', 'foreign_money', 'taxpayer_money', 'more_dollars', 'enough_money', 'government_money', 'state_money', 'such_money', 'more_funds', 'charity', 'billions_of_dollars', 'city_money', 'cash', 'huge_sums', 'scarce_resources', 'substantial_sums', 'much_money', 'own_money', 'private_money', 'more_than_100', 'big_money', 'public_funds', '000', 'extra_cash', 'most_money', 'millions_of_dollars', 'borrowed_money', 'fund', 'other_money', 'private_funds']"
4,wedding,['wedding'],"['newlyweds', 'reunion', 'bachelor_party', 'funeral', 'weddings', 'prom', 'dinner_party', 'family_reunion', 'wedding_party', 'bat_mitzvah', 'groom', 'wedding_ceremony', 'wedding', 'honeymoon', 'birthday', 'wedding_day', 'birthday_party', 'bar_mitzvah', 'bridesmaid', 'first_date', 'blind_date', 'big_party', 'bridesmaids', 'nuptials', 'wedding_reception']"
5,domestic_work,['housework'],"['baby_sitters', 'working_mother', 'other_mothers', 'drudgery', 'schoolwork', 'boyfriends', 'dieting', 'housework', 'many_mothers', 'chores', 'most_adults', 'young_mothers', 'childrearing', 'domestic_work', 'dads', 'socializing', 'junk_food', 'nannies', 'rearing', 'child_rearing', 'caring', 'many_men', 'younger_siblings', 'eating', 'many_girls', 'parenting', 'aging_parents', 'elderly_parents', 'personal_hygiene', 'companionship', 'husbands', 'moms', 'toddlers', 'laundry', 'long_hours', 'own_children', 'day_care', 'household_chores', 'toilet_training', 'grocery_shopping', 'working_mothers', 'mothers']"
6,sleep,['sleep'],"['eat', 'doze', 'crawl', 'bed', 'asleep', 'sleep', 'all_day', 'same_room', 'all_night', 'bathroom', 'sit', 'sleeping', 'undress', 'good_nights_sleep', 'walk', 'nap', 'unsupervised', 'shower', 'sweat', 'drink', 'own_bed', 'slept', 'wake', 'cot', 'urinate', 'waking', 'cooped', 'awake', 'socialize', 'nurse', 'naps', 'next_morning', 'late_at_night', 'every_night', 'sleeps', 'bedtime', 'bathe']"
7,medical_emergency,['medical'],"['oncology', 'internist', 'kaiser_permanente', 'clinical', 'cardiac', 'cardiologist', 'family_practice', 'pediatrician', 'medical_services', 'oncologist', 'mental', 'occupational', 'neurosurgeon', 'psychiatric', 'outpatient', 'gastroenterologist', 'the_mayo_clinic', 'the_cleveland_clinic', 'geriatrics', 'obstetrics', 'medical_emergency', 'hygienist', 'medical_center', 'medical_service', 'radiologist', 'neurosurgery', 'medical_director', 'massachusetts_general_hospital', 'nursing', 'anesthesiologist', 'surgical', 'preventive_medicine', 'epidemiologist', 'neuropsychologist', 'sports_medicine', 'medicine', 'dental', 'clinical_services', 'emergency_department', 'neurologist', 'cardiology', 'radiology', 'preventive', 'health', 'clinical_research', 'pediatrics', 'diagnostic', 'cardiac_surgery', 'emergency_medicine', 'examiner', 'behavioral', 'nurse', 'medical', 'epidemiology', 'infectious_diseases', 'technologist', 'medical_training', 'pulmonary', 'pediatric', 'physician', 'montefiore', 'pain_management', 'endocrinologist', 'veterinary']"
8,cold,['cold'],"['icy', 'frigid', 'wet', 'cloudy', 'summer_heat', 'frost', 'balmy', 'sodden', 'humidity', 'snows', 'sunny', 'rainy', 'windy', 'dizzy', 'weather', 'itchy', 'overcast', 'muddy', 'shivering', 'smelling', 'blooded', 'sleepy', 'dank', 'dirty', 'slippery', 'damp', 'faint', 'chilly', 'thirsty', 'exhausted', 'hot_weather', 'snow', 'soggy', 'muggy', 'unseasonably', 'cold_air', 'chill', 'smelly', 'raining', 'hot', 'dew', 'dry', 'foggy', 'sticky', 'cooler', 'limp', 'snowing', 'sweaty', 'cold_weather', 'drowsy', 'dark', 'humid', 'cool', 'colder', 'snowy', 'warm', 'cold']"
9,hate,['hate'],"['me', 'loathe', 'sorry', 'want', 'wrong_thing', 'bothers', 'damned', 'liking', 'hating', 'pretend', 'adore', 'insult', 'really', 'scared', 'detest', 'like', 'gotta', 'absolutely_nothing', 'curse', 'ashamed', 'guess', 'anymore', 'bad_people', 'bad_things', 'hell', 'personally', 'white_people', 'suppose', 'think', 'sure', 'nice_things', 'okay', 'afraid', 'hey', 'anyhow', 'gonna', 'damn_thing', 'scream', 'jerks', 'hated', 'hates', 'laugh', 'certain_things', 'ca', 'dislike', 'hate', 'same_things', 'damn', 'anyway', 'mad', 'good_people', 'stupid', 'whine', 'certain_people', 'crazy', 'yell', 'know', 'love', 'fools', 'dumb', 'despise', 'ok', 'so_many_things']"
