,categories,seedwords,words,rseeds
0,help,['guide'],"['guidebooks', 'help', 'brochure', 'booklet', 'guidebook', 'guide', 'guides']",[25]
1,office,['administrator'],"['acting_director', 'specialist', 'deputy_director', 'planner', 'assistant', 'secretary', 'counselor', 'overseer', 'superintendent', 'regional_office', 'commissioner', 'assistant_commissioner', 'chairwoman', 'official', 'regional_director', 'regional_administrator', 'deputy', 'assistant_secretary', 'examiner', 'executive_director', 'supervisor', 'chief', 'forester', 'assistant_director', 'office', 'public_affairs', 'oversees', 'director', 'administrator', 'inspector', 'coordinator', 'deputy_commissioner', 'administrative']",[80]
2,dance,['turns'],"['transforms', 'drifts', 'veers', 'winds', 'spits', 'sneaks', 'bursts', 'tosses', 'settles', 'plunges', 'rolls', 'stumbles', 'disappears', 'spins', 'slips', 'finds', 'jumps', 'breaks', 'catches', 'dance', 'turns', 'pulls', 'strikes', 'sinks', 'leaps', 'drags']",[17]
3,money,['splurge'],"['half_price', 'about_24', 'as_little_as_10', 'refill', 'u00e0_la', 'burgers', 'house_wine', 'restoration_hardware', 'sip', 'cappuccino', 'margarita', 'fancy_restaurants', 'la_carte', 'shop', 'same_price', 'prix_fixe_menu', 'about_40', 'about_15', 'more_wine', 'brew', 'prix_fixe', 'freshen', 'nibble', 'nap', 'money', 'hamburger', 'plunk', 'stock', 'good_wine', 'snacks', 'manicures', 'mixed_drinks', 'renting', 'good_prices', 'sample', 'full_meal', 'about_45', 'dry_cleaning', 'munch', 'pedicure', 'pretzels', 'latte', 'about_20', 'minibar', 'fries', '80', 'about_80', 'splurged', '120', 'light_lunch', 'pedicures', '190', 'car_rental', 'theater_tickets', 'about_30', 'restaurant_meals', 'cheeseburger', 'splurge', 'fixings', 'fancy_restaurant', 'local_supermarket', '110', 'own_wine', 'good_restaurant', 'deluxe', 'bag', 'good_meal', 'breakfast_buffet', 'full_price', 'snacking', 'skimp', 'pricey', 'about_65', 'better_food', 'room_service', 'pamper', 'retail', 'tasting_menu', 'dine', 'takeout', 'about_120', 'most_restaurants', 'valet_parking', 'order', 'splurging', 'a_few_dollars', 'snack', 'barbecue', 'new_clothes', 'fancier', 'haircuts', 'cheeseburgers']",[6]
4,wedding,['tuxedo'],"['evening_gown', 'beret', 'black_shirt', 'white_tshirt', 'blond_wig', 'robe', 'striped_shirt', 'gown', 'bandanna', 'wig', 'black_hat', 'earring', 'top_hat', 'black_jeans', 'tuxedo', 'black_leather', 'blue_blazer', 'apron', 'wedding_dress', 'dons', 'blazer', 'denim_jacket', 'wedding', 'knickers', 'kilt', 'overcoat', 'white_suit', 'kimono', 'black_jacket', 'tweed_jacket', 'windbreaker', 'chinos', 'sweatshirt', 'white_socks', 'sweat_pants', 'red_tie', 'sandals', 'mink_coat', 'fedora', 'slacks', 'cowboy_boots', 'khakis', 'black_tie', 'khaki_pants', 'overalls', 'necktie', 'polo_shirt', 'leather_jacket', 'blue_jeans', 'tank_top', 'short_skirt', 'black_tshirt', 'black_boots', 'trench_coat', 'dressed', 'blue_shirt', 'miniskirt', 'raincoat', 'piece_suit', 'bow_tie', 'dark_suit', 'straw_hat', 'gray_slacks', 'slippers', 'gray_suit', 'tux', 'high_heels', 'red_dress', 'white_dress', 'swimsuit', 'black_leather_jacket', 'nightgown', 'evening_dress', 'loafers', 'cowboy_hat', 'black_dress', 'black_suit', 'black_pants', 'business_suit', 'bathrobe', 'white_shoes', 'baseball_cap', 'suspenders', 'sweater', 'plaid_shirt', 'tuxedos', 'nattily', 'wearing', 'blue_suit', 'pajamas', 'hot_pants', 'white_shirt', 'flannel_shirt', 'white_gloves', 'dinner_jacket', 'dark_glasses']",[49]
5,domestic_work,['domestic_work'],"['', 'domestic_work']",[0]
6,sleep,['lull'],"['monsoon', 'jitters', 'ground_war', 'persian_gulf_crisis', 'whirlwind', 'the_last_three_weeks', 'euphoria', 'the_last_three_days', 'subside', 'subsiding', 'little_sign', 'last_two_weeks', 'tempers', 'hostilities', 'shelling', 'flareup', 'heavy_fighting', 'the_last_few_days', 'subsided', 'diplomatic_activity', 'last_few_weeks', 'lull', 'bombardment', 'thaw', 'fighting', 'the_fourth_day', 'the_first_days', 'the_first_weeks', 'more_than_a_week', 'long_night', 'the_third_day', 'quick_end', 'sleep', 'latest_crisis', 'rainy_season', 'the_last_10_days', 'more_than_two_weeks', 'relative_calm']",[43]
7,medical_emergency,['resuscitate'],"['resuscitate', 'engineer', 'rescue', 'stanch', 'refocus', 'reinvigorate', 'revive', 'right', 'reinvent', 'resurrect', 'rejuvenate', 'remake', 'capitalize', 'regain', 'stave', 'medical_emergency', 'recapture', 'orchestrate', 'extricate', 'salvage']",[56]
8,cold,['icy'],"['leaden', 'luxuriant', 'soothing', 'faintly', 'misty', 'dreary', 'smelly', 'pallid', 'windy', 'faint', 'overcast', 'ragged', 'tranquil', 'slimy', 'dank', 'icy', 'damp', 'gnarled', 'languorous', 'glassy', 'drab', 'temperate', 'hairy', 'spongy', 'cold', 'mellow', 'wet', 'scruffy', 'smoky', 'slippery', 'stony', 'balmy', 'lumpy', 'craggy', 'cheery', 'ungainly', 'lifeless', 'jagged', 'viscous', 'placid', 'languid', 'wispy', 'musty', 'serene', 'swells', 'chilly', 'weightless', 'foggy', 'silvery', 'dainty', 'ghostly', 'featureless', 'ethereal', 'snowy', 'frigid', 'muddy', 'sandy', 'humid', 'shimmering', 'puffy', 'watery', 'dusty', 'steamy', 'sodden', 'flaccid', 'suffocating', 'pungent', 'muffled']",[6]
9,hate,['disrespect'],"['compunction', 'arrogance', 'insult', 'condone', 'perversion', 'sin', 'divisiveness', 'shame', 'disloyalty', 'racists', 'timidity', 'insulting', 'misunderstanding', 'hypocrisy', 'recklessness', 'provocation', 'callousness', 'injustice', 'criminality', 'vindictiveness', 'demeaning', 'transgressions', 'shameful', 'political_correctness', 'public_humiliation', 'bad_behavior', 'slights', 'slur', 'double_standard', 'disrespect', 'opportunism', 'dishonor', 'meanness', 'lying', 'irresponsibility', 'fair_play', 'unfairness', 'worst_kind', 'mockery', 'distaste', 'contempt', 'victimization', 'cowardice', 'bullying', 'immorality', 'selfishness', 'candor', 'racial_prejudice', 'cynicism', 'stubbornness', 'retribution', 'animus', 'civility', 'such_behavior', 'prejudice', 'immaturity', 'bad_judgment', 'racist', 'sexism', 'poor_judgment', 'equivocation', 'mere_presence', 'incompetence', 'coercion', 'disdain', 'respect', 'foolishness', 'bigotry', 'animosity', 'stupidity', 'ridicule', 'demeaned', 'uncertain_terms', 'remorse', 'hate', 'rudeness', 'ignorance', 'decency', 'offends', 'disregard', 'misbehavior', 'affront', 'indifference', 'dislike', 'physical_contact', 'carelessness', 'laziness', 'outspokenness', 'contrition', 'dishonesty', 'intolerance', 'insensitivity', 'viciousness', 'transgression', 'ill_will', 'malice']",[44]
