,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,Chi,NB,1,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
1,Chi,LR1,1,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
2,Chi,SVC1,1,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
3,Chi,SVC2,1,0.7368421052631579,0.6296296296296297,14,3,8,2,[1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
4,Chi,SVC3,1,0.7368421052631579,0.6296296296296297,14,3,8,2,[1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
5,Chi,SVC4,1,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
6,Chi,kNN3,1,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
7,Chi,kNN5,1,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
8,Chi,NB,2,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
9,Chi,LR1,2,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
10,Chi,SVC1,2,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
11,Chi,SVC2,2,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
12,Chi,SVC3,2,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
13,Chi,SVC4,2,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
14,Chi,kNN3,2,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0],12508
15,Chi,kNN5,2,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0],12508
16,Chi,NB,3,0.787878787878788,0.7407407407407407,13,7,4,3,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0],12508
17,Chi,LR1,3,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 0],12508
18,Chi,SVC1,3,0.823529411764706,0.7777777777777778,14,7,4,2,[1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0],12508
19,Chi,SVC2,3,0.7777777777777777,0.7037037037037037,14,5,6,2,[1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 0],12508
20,Chi,SVC3,3,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 0],12508
21,Chi,SVC4,3,0.8125,0.7777777777777778,13,8,3,3,[1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0],12508
22,Chi,kNN3,3,0.787878787878788,0.7407407407407407,13,7,4,3,[1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0],12508
23,Chi,kNN5,3,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0],12508
