,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,Chi,NB,1,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
1,Chi,LR1,1,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
2,Chi,SVC1,1,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
3,Chi,SVC2,1,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1],90188
4,Chi,SVC3,1,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1],90188
5,Chi,SVC4,1,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
6,Chi,kNN3,1,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
7,Chi,kNN5,1,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
8,Chi,NB,2,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
9,Chi,LR1,2,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
10,Chi,SVC1,2,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
11,Chi,SVC2,2,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1],90188
12,Chi,SVC3,2,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1],90188
13,Chi,SVC4,2,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1],90188
14,Chi,kNN3,2,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1],90188
