,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,Chi,NB,1,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
1,Chi,LR1,1,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
2,Chi,SVC1,1,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
3,Chi,SVC2,1,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
4,Chi,SVC3,1,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
5,Chi,SVC4,1,0.75,0.6296296296296297,15,2,9,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
6,Chi,kNN3,1,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
7,Chi,kNN5,1,0.75,0.6296296296296297,15,2,9,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
8,Chi,NB,2,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
9,Chi,LR1,2,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
10,Chi,SVC1,2,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
11,Chi,SVC2,2,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
12,Chi,SVC3,2,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
13,Chi,SVC4,2,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
14,Chi,kNN3,2,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
15,Chi,kNN5,2,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
16,Chi,NB,3,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
17,Chi,LR1,3,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
18,Chi,SVC1,3,0.7619047619047621,0.6296296296296297,16,1,10,0,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
19,Chi,SVC2,3,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
20,Chi,SVC3,3,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
21,Chi,SVC4,3,0.3157894736842105,0.5185185185185185,3,11,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0],78540
22,Chi,kNN3,3,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
23,Chi,kNN5,3,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
24,Chi,NB,4,0.75,0.6296296296296297,15,2,9,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
25,Chi,LR1,4,0.75,0.6296296296296297,15,2,9,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
26,Chi,SVC1,4,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
27,Chi,SVC2,4,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
28,Chi,SVC3,4,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],78540
29,Chi,SVC4,4,0.3157894736842105,0.5185185185185185,3,11,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0],78540
30,Chi,kNN3,4,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
31,Chi,kNN5,4,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],78540
32,Chi,NB,5,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0],78540
33,Chi,LR1,5,0.7777777777777777,0.7037037037037037,14,5,6,2,[1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0],78540
34,Chi,SVC1,5,0.7000000000000001,0.5555555555555556,14,1,10,2,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
35,Chi,SVC2,5,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0],78540
36,Chi,SVC3,5,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0],78540
37,Chi,SVC4,5,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0],78540
38,Chi,kNN3,5,0.7000000000000001,0.5555555555555556,14,1,10,2,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
39,Chi,kNN5,5,0.7000000000000001,0.5555555555555556,14,1,10,2,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
40,Chi,NB,6,0.7894736842105263,0.7037037037037037,15,4,7,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0],78540
41,Chi,LR1,6,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0],78540
42,Chi,SVC1,6,0.7179487179487181,0.5925925925925926,14,2,9,2,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
43,Chi,SVC2,6,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0],78540
44,Chi,SVC3,6,0.75,0.6296296296296297,15,2,9,1,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0],78540
45,Chi,SVC4,6,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0],78540
46,Chi,kNN3,6,0.7179487179487181,0.5925925925925926,14,2,9,2,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
47,Chi,kNN5,6,0.7368421052631579,0.6296296296296297,14,3,8,2,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0],78540
48,Chi,NB,7,0.8108108108108109,0.7407407407407407,15,5,6,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0],78540
49,Chi,LR1,7,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 0],78540
50,Chi,SVC1,7,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 0],78540
51,Chi,SVC2,7,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0],78540
52,Chi,SVC3,7,0.7027027027027026,0.5925925925925926,13,3,8,3,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0],78540
53,Chi,SVC4,7,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0],78540
54,Chi,kNN3,7,0.7027027027027026,0.5925925925925926,13,3,8,3,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0],78540
55,Chi,kNN5,7,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 0],78540
56,Chi,NB,8,0.8108108108108109,0.7407407407407407,15,5,6,1,[1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0],78540
57,Chi,LR1,8,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 0],78540
58,Chi,SVC1,8,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 0],78540
59,Chi,SVC2,8,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0],78540
